NUM|DATE|TIME|HOST|PID|PPID|RSS(MB)|VSZ(MB)|%MEM|%CPU|MMC|MAPS|BALLOON|CMD
  1|2025-08-12|12:42:01|host|529413|529393|1685|7841|10.5|0.3|65530|483|N/A|java
  2|2025-08-12|12:42:01|host|1836985|1836472|1030|4191|6.4|0.2|65530|434|N/A|/opt/java/openjdk/bin/java
  3|2025-08-12|12:42:01|host|2135589|2135568|994|5767|6.2|1.1|65530|460|N/A|java
  4|2025-08-12|12:42:01|host|1838285|1836391|788|4208|4.9|0.1|65530|785|N/A|/opt/java/openjdk/bin/java
  5|2025-08-12|12:42:01|host|674860|674837|772|7812|4.8|0.2|65530|471|N/A|java
  6|2025-08-12|12:42:01|host|536998|536978|493|7743|3.0|0.1|65530|424|N/A|java
  7|2025-08-12|12:42:01|host|2268149|2268119|459|1466|2.8|0.2|65530|318|N/A|java
  8|2025-08-12|12:42:01|host|537133|537108|413|7722|2.5|0.2|65530|421|N/A|java
  9|2025-08-12|12:42:01|host|4518|4497|391|7722|2.4|0.1|65530|430|N/A|java
 10|2025-08-12|12:42:01|host|1842958|1836391|387|4066|2.4|0.2|65530|315|N/A|/opt/java/openjdk/bin/java
  1|2025-08-12|12:43:01|host|529413|529393|1685|7841|10.5|0.3|65530|483|N/A|java
  2|2025-08-12|12:43:01|host|1836985|1836472|1030|4191|6.4|0.2|65530|434|N/A|/opt/java/openjdk/bin/java
  3|2025-08-12|12:43:01|host|2135589|2135568|994|5767|6.2|1.1|65530|460|N/A|java
  4|2025-08-12|12:43:01|host|1838285|1836391|788|4208|4.9|0.1|65530|791|N/A|/opt/java/openjdk/bin/java
  5|2025-08-12|12:43:01|host|674860|674837|772|7812|4.8|0.2|65530|471|N/A|java
  6|2025-08-12|12:43:01|host|536998|536978|493|7743|3.0|0.1|65530|424|N/A|java
  7|2025-08-12|12:43:01|host|2268149|2268119|459|1466|2.8|0.2|65530|318|N/A|java
  8|2025-08-12|12:43:01|host|537133|537108|413|7722|2.5|0.2|65530|421|N/A|java
  9|2025-08-12|12:43:01|host|4518|4497|391|7722|2.4|0.1|65530|430|N/A|java
 10|2025-08-12|12:43:01|host|1842958|1836391|387|4066|2.4|0.2|65530|315|N/A|/opt/java/openjdk/bin/java
  1|2025-08-12|12:44:01|host|529413|529393|1685|7841|10.5|0.3|65530|483|N/A|java
  2|2025-08-12|12:44:01|host|1836985|1836472|1030|4191|6.4|0.2|65530|434|N/A|/opt/java/openjdk/bin/java
  3|2025-08-12|12:44:01|host|2135589|2135568|994|5767|6.2|1.1|65530|460|N/A|java
  4|2025-08-12|12:44:01|host|1838285|1836391|788|4209|4.9|0.1|65530|797|N/A|/opt/java/openjdk/bin/java
  5|2025-08-12|12:44:01|host|674860|674837|772|7812|4.8|0.2|65530|471|N/A|java
  6|2025-08-12|12:44:01|host|536998|536978|493|7743|3.0|0.1|65530|424|N/A|java
  7|2025-08-12|12:44:01|host|2268149|2268119|459|1466|2.8|0.2|65530|318|N/A|java
